,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
0,107452530,PONTOTOC,OFF,MASS MERCHANDISER,DOLLAR STORE,Y,N,LowPoint
1,200097024,OKLAHOMA,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2,100135885,MUSKOGEE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
3,100950469,CANADIAN,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
4,100560558,TULSA,OFF,MASS MERCHANDISER,DOLLAR STORE,Y,N,LowPoint
5,100953364,CLEVELAND,OFF,MASS MERCHANDISER,DOLLAR STORE,Y,N,LowPoint
6,100415222,COTTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
7,100260951,COMANCHE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
8,301532848,CARTER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
9,100144438,ROGERS,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
10,100685008,ROGERS,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
11,103933853,DELAWARE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
12,200673226,TULSA,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
13,100894973,CLEVELAND,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
14,201765382,TULSA,ON,DINING,CASUAL DINING,Y,Y,LowPoint
15,100203261,GRADY,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
16,107441369,OKLAHOMA,OFF,WHOLESALE CLUB,CONVENTIONAL CLUB,Y,N,LowPoint
